# time	signal	sigma
-1.843999947848118381e-06	-2.415512572015511593e-04	1.867490548280751391e-03
-1.841999947904682244e-06	-2.407128292242969973e-04	1.870429208110341518e-03
-1.839999947961246107e-06	-2.410796414643458609e-04	1.875932915359480998e-03
-1.837999948017809970e-06	-2.467165724185638978e-04	1.874419654343900676e-03
-1.835999948074373833e-06	-2.492618002066572004e-04	1.873747486290991892e-03
-1.833999948130937696e-06	-2.524508209058560246e-04	1.876162578636870852e-03
-1.831999948187501559e-06	-2.574140150926368018e-04	1.877750443487229441e-03
-1.829999948244065422e-06	-2.587016009148486039e-04	1.878271636519268867e-03
-1.827999948300629285e-06	-2.612992304515198393e-04	1.882933518791994870e-03
-1.825999948357193148e-06	-2.631482635799284407e-04	1.889029743930136862e-03
-1.823999948413757011e-06	-2.655587440145340582e-04	1.893952441156150635e-03
-1.821999948470320874e-06	-2.649748388160891397e-04	1.894630984802410205e-03
-1.819999948526884737e-06	-2.660677895721525995e-04	1.897378466205481033e-03
-1.817999948583448599e-06	-2.692942400917645580e-04	1.895695703309026228e-03
-1.815999948640012462e-06	-2.719068415566012423e-04	1.896126182490723202e-03
-1.813999948696576325e-06	-2.672131420767942089e-04	1.894638651781970764e-03
-1.811999948753140188e-06	-2.681938033716182654e-04	1.893298407515112223e-03
-1.809999948809704051e-06	-2.617334163683117322e-04	1.892793838172553101e-03
-1.807999948866267914e-06	-2.589860675499877423e-04	1.892223248280907287e-03
-1.805999948922831777e-06	-2.516797666053445666e-04	1.893004710681676266e-03
-1.803999948979395640e-06	-2.453616129196085514e-04	1.893314348073794505e-03
-1.801999949035959503e-06	-2.386242452452448453e-04	1.894116424872636798e-03
-1.799999949092523366e-06	-2.303747128261908288e-04	1.897767652902511860e-03
-1.797999949149087229e-06	-2.257858168435409620e-04	1.898657952311705397e-03
-1.795999949205651092e-06	-2.169598651901246159e-04	1.900812579323519699e-03
-1.793999949262214955e-06	-2.168326038007198180e-04	1.900949401792315432e-03
-1.791999949318778818e-06	-2.136810129219340740e-04	1.899296018043373840e-03
-1.789999949375342680e-06	-2.156348495474995439e-04	1.895753402514959969e-03
-1.787999949431906543e-06	-2.190858789895901734e-04	1.893148965840520288e-03
-1.785999949488470406e-06	-2.224919926471850254e-04	1.889032508710812531e-03
-1.783999949545034269e-06	-2.237346626849008873e-04	1.886704959236157201e-03
-1.781999949601598132e-06	-2.269087114559342354e-04	1.883711279507389825e-03
-1.779999949658161995e-06	-2.312505706238573392e-04	1.881191458020768387e-03
-1.777999949714725858e-06	-2.357945508220109676e-04	1.877783488872791264e-03
-1.775999949771289721e-06	-2.396647942527285291e-04	1.875655544202766128e-03
-1.773999949827853584e-06	-2.411245572488407982e-04	1.871996702257997967e-03
-1.771999949884417447e-06	-2.438793920312473499e-04	1.869855383424881166e-03
-1.769999949940981310e-06	-2.434152622581243152e-04	1.868303951305881486e-03
-1.767999949997545173e-06	-2.452044076738720425e-04	1.870673036352478100e-03
-1.765999950054109036e-06	-2.450097726077241338e-04	1.874568583023884230e-03
-1.763999950110672899e-06	-2.414389677403111056e-04	1.873914580748529523e-03
-1.761999950167236761e-06	-2.370447068238097708e-04	1.876091729803440423e-03
-1.759999950223800624e-06	-2.333990423155709074e-04	1.877602298170370256e-03
-1.757999950280364487e-06	-2.265718430722154023e-04	1.877378383147446572e-03
-1.755999950336928350e-06	-2.226342259647545675e-04	1.880446030273899517e-03
-1.753999950393492213e-06	-2.194377193014739405e-04	1.885119205377029823e-03
-1.751999950450056076e-06	-2.170571827231992208e-04	1.884584005008912034e-03
-1.749999950506619939e-06	-2.129997901904169631e-04	1.889271555924309067e-03
-1.747999950563183802e-06	-2.147739636779991059e-04	1.887091762005475241e-03
-1.745999950619747665e-06	-2.137858164190926502e-04	1.886375956769582429e-03
-1.743999950676311528e-06	-2.167652301239776560e-04	1.886060841304356209e-03
-1.741999950732875391e-06	-2.209124542257524988e-04	1.886475843918571397e-03
-1.739999950789439254e-06	-2.236148872595804943e-04	1.882205096787817637e-03
-1.737999950846003117e-06	-2.247527538001395148e-04	1.883080978297130238e-03
-1.735999950902566979e-06	-2.282337270985606626e-04	1.882330107933959931e-03
-1.733999950959130842e-06	-2.335637335253904119e-04	1.880279913836231187e-03
-1.731999951015694705e-06	-2.364009139127057943e-04	1.877223215039840448e-03
-1.729999951072258568e-06	-2.429960482694986301e-04	1.874706263069766347e-03
-1.727999951128822431e-06	-2.501676018606543376e-04	1.876378042645125005e-03
-1.725999951185386294e-06	-2.513728420779570922e-04	1.875639130447803293e-03
-1.723999951241950157e-06	-2.517920560665841867e-04	1.873355520946968882e-03
-1.721999951298514020e-06	-2.559767099887720284e-04	1.874835622420241042e-03
-1.719999951355077883e-06	-2.579904343269983995e-04	1.877689541567452002e-03
-1.717999951411641746e-06	-2.594427113590275918e-04	1.876242357552593406e-03
-1.715999951468205609e-06	-2.574514449130488520e-04	1.873769089216735300e-03
-1.713999951524769472e-06	-2.568226239301082915e-04	1.871974249509726239e-03
-1.711999951581333335e-06	-2.561863169830850065e-04	1.876220330714078359e-03
-1.709999951637897198e-06	-2.540228733632062604e-04	1.877157899909948600e-03
-1.707999951694461060e-06	-2.520690367376408718e-04	1.883076444693150379e-03
-1.705999951751024923e-06	-2.524059051213590273e-04	1.887357032364121246e-03
-1.703999951807588786e-06	-2.511707210477260254e-04	1.894564662813221683e-03
-1.701999951864152649e-06	-2.537608646203146447e-04	1.897938790861419377e-03
-1.699999951920716512e-06	-2.555425240719798102e-04	1.902087874085635474e-03
-1.697999951977280375e-06	-2.580278641474116424e-04	1.900924604345474072e-03
-1.695999952033844238e-06	-2.621376584287735405e-04	1.903138181963403295e-03
-1.693999952090408101e-06	-2.644732792225528892e-04	1.899403243289680748e-03
-1.691999952146971964e-06	-2.652892493075591760e-04	1.894542617929671335e-03
-1.689999952203535827e-06	-2.681863174075353783e-04	1.891917875796508787e-03
-1.687999952260099690e-06	-2.677521314907430517e-04	1.895419991437651127e-03
-1.685999952316663553e-06	-2.676697858858338957e-04	1.895144600633092390e-03
-1.683999952373227416e-06	-2.669960491183970969e-04	1.898636869169800356e-03
-1.681999952429791279e-06	-2.667864421240835767e-04	1.898760631847418558e-03
-1.679999952486355141e-06	-2.657982948651769583e-04	1.902824090149955218e-03
