# time	signal	sigma
-1.999999943436137073e-06	-2.490178579138354362e-04	1.869279920941193697e-03
-1.997999943492700936e-06	-2.479878067265064751e-04	1.868486459959758797e-03
-1.995999943549264799e-06	-2.460888296772406397e-04	1.869161185418186707e-03
-1.993999943605828662e-06	-2.415197758071894487e-04	1.870444202773200977e-03
-1.991999943662392525e-06	-2.361393408342701058e-04	1.869787431384981914e-03
-1.989999943718956388e-06	-2.319788547536063617e-04	1.873071581611645371e-03
-1.987999943775520251e-06	-2.292627421255658221e-04	1.880026644105975940e-03
-1.985999943832084114e-06	-2.236291102127444853e-04	1.885175567550794991e-03
-1.983999943888647977e-06	-2.209417699642383611e-04	1.887010481760583412e-03
-1.981999943945211839e-06	-2.176271918418837910e-04	1.890003759981754954e-03
-1.979999944001775702e-06	-2.170172173957560593e-04	1.894555024710004466e-03
-1.977999944058339565e-06	-2.135990587070780164e-04	1.894935325250451724e-03
-1.975999944114903428e-06	-2.135357594721024434e-04	1.895346167637636204e-03
-1.973999944171467291e-06	-2.167179846485991254e-04	1.894878580153836877e-03
-1.971999944228031154e-06	-2.191233555776690299e-04	1.890890197747873737e-03
-1.969999944284595017e-06	-2.195664502224978784e-04	1.888243422626646522e-03
-1.967999944341158880e-06	-2.252691358462015304e-04	1.886573006973974679e-03
-1.965999944397722743e-06	-2.271623584195604339e-04	1.881637363934889192e-03
-1.963999944454286606e-06	-2.321917703621609438e-04	1.879110712660949159e-03
-1.961999944510850469e-06	-2.352646604964271670e-04	1.880799668864367377e-03
-1.959999944567414332e-06	-2.376757859014039221e-04	1.878468183874548725e-03
-1.957999944623978195e-06	-2.433669625732942524e-04	1.874634694804196838e-03
-1.955999944680542058e-06	-2.457953514059916405e-04	1.876134277586179958e-03
-1.953999944737105920e-06	-2.453062209539074996e-04	1.874567834359555782e-03
-1.951999944793669783e-06	-2.482294947145951745e-04	1.874099112859753825e-03
-1.949999944850233646e-06	-2.507269372581748235e-04	1.876452044370122835e-03
-1.947999944906797509e-06	-2.548126151520492392e-04	1.875380652810464599e-03
-1.945999944963361372e-06	-2.558023850080301379e-04	1.876938021411430658e-03
-1.943999945019925235e-06	-2.549852494292553524e-04	1.882214081796945195e-03
-1.941999945076489098e-06	-2.532991879885437467e-04	1.882968111342882668e-03
-1.939999945133052961e-06	-2.516994436864351706e-04	1.884331589245047660e-03
-1.937999945189616824e-06	-2.483043029013845028e-04	1.886582594678958566e-03
-1.935999945246180687e-06	-2.464858885148149548e-04	1.887602638273250819e-03
-1.933999945302744550e-06	-2.415140213312833570e-04	1.888434675208233325e-03
-1.931999945359308413e-06	-2.391374227817479221e-04	1.888525660499576530e-03
-1.929999945415872276e-06	-2.328190082360102843e-04	1.889771630151112439e-03
-1.927999945472436139e-06	-2.308452229999554729e-04	1.887876243280394882e-03
-1.925999945529000001e-06	-2.271681128954683958e-04	1.889946100220566642e-03
-1.923999945585563864e-06	-2.276572433475521030e-04	1.888579517642689385e-03
-1.921999945642127727e-06	-2.251655552798793316e-04	1.890321554521595887e-03
-1.919999945698691590e-06	-2.242218212311533187e-04	1.891237966821113226e-03
-1.917999945755255453e-06	-2.247627419663980304e-04	1.887711134548863837e-03
-1.915999945811819316e-06	-2.275421538294141702e-04	1.884868436020332300e-03
-1.913999945868383179e-06	-2.283017446491203146e-04	1.881047492422043086e-03
-1.911999945924947042e-06	-2.293720771677970399e-04	1.879316929023394254e-03
-1.909999945981510905e-06	-2.318867831390971864e-04	1.877111985237735030e-03
-1.907999946038074768e-06	-2.356847372376283151e-04	1.878010086580195106e-03
-1.905999946094638631e-06	-2.332966297362790977e-04	1.879802457879055713e-03
-1.903999946151202494e-06	-2.319903637054206592e-04	1.880067896820185411e-03
-1.901999946207766357e-06	-2.312307728857143250e-04	1.883106297974409312e-03
-1.899999946264330219e-06	-2.300856321802481630e-04	1.880116296114160788e-03
-1.897999946320894082e-06	-2.278413865765711312e-04	1.880460784970866984e-03
-1.895999946377457945e-06	-2.282672177936792112e-04	1.878050986620488682e-03
-1.893999946434021808e-06	-2.268803891001247564e-04	1.877685101523623307e-03
-1.891999946490585671e-06	-2.272371666063503586e-04	1.877821689115802186e-03
-1.889999946547149534e-06	-2.257755297260064398e-04	1.882739914744500660e-03
-1.887999946603713397e-06	-2.243254017974763577e-04	1.881950872505410875e-03
-1.885999946660277260e-06	-2.245555808337507055e-04	1.883186149941642670e-03
-1.883999946716841123e-06	-2.227947112062497444e-04	1.885585481044657619e-03
-1.881999946773404986e-06	-2.216265525971560717e-04	1.884412592627019312e-03
-1.879999946829968849e-06	-2.222020001878424560e-04	1.878595866801085817e-03
-1.877999946886532712e-06	-2.210683684341897511e-04	1.876918558228907099e-03
-1.875999946943096575e-06	-2.242390846588730572e-04	1.871306244747842316e-03
-1.873999946999660438e-06	-2.256719491596827503e-04	1.866211273956324421e-03
-1.871999947056224300e-06	-2.292339697460328432e-04	1.861573831111928024e-03
-1.869999947112788163e-06	-2.318637652354702179e-04	1.853514379462984588e-03
-1.867999947169352026e-06	-2.337109520015739916e-04	1.852886832218571603e-03
-1.865999947225915889e-06	-2.363810288223597267e-04	1.856628870904930562e-03
-1.863999947282479752e-06	-2.402135097763322840e-04	1.858388235620779061e-03
-1.861999947339043615e-06	-2.420146607351812262e-04	1.865613540480312539e-03
-1.859999947395607478e-06	-2.462211826230998831e-04	1.870701683904566880e-03
-1.857999947452171341e-06	-2.459910035868252101e-04	1.878290612386432920e-03
-1.855999947508735204e-06	-2.482985484254780859e-04	1.881009890254178646e-03
-1.853999947565299067e-06	-2.454903641829279644e-04	1.885715732580582615e-03
-1.851999947621862930e-06	-2.449551979235893985e-04	1.883572945164927901e-03
-1.849999947678426793e-06	-2.423138934823380246e-04	1.888642972842265785e-03
-1.847999947734990656e-06	-2.408004663188322611e-04	1.888196929459951467e-03
-1.845999947791554519e-06	-2.385274483356206513e-04	1.889072423342256319e-03
-1.843999947848118381e-06	-2.380037910280957865e-04	1.885030250027667185e-03
-1.841999947904682244e-06	-2.312825631688770372e-04	1.881656138450171246e-03
-1.839999947961246107e-06	-2.300223329452735657e-04	1.877358037035512439e-03
-1.837999948017809970e-06	-2.281924096068903166e-04	1.876068587993824036e-03
-1.835999948074373833e-06	-2.257870386778204120e-04	1.872932662808413518e-03
-1.833999948130937696e-06	-2.225933045495101644e-04	1.877585452463821809e-03
-1.831999948187501559e-06	-2.195491867947783839e-04	1.878944436620556130e-03
-1.829999948244065422e-06	-2.178861432576943702e-04	1.880151999496646950e-03
-1.827999948300629285e-06	-2.187147877882830737e-04	1.877586616157809335e-03
-1.825999948357193148e-06	-2.169251457812478869e-04	1.879636486114509390e-03
-1.823999948413757011e-06	-2.139673451651194339e-04	1.874166843203092878e-03
-1.821999948470320874e-06	-2.113375496756821406e-04	1.876121291132009468e-03
-1.819999948526884737e-06	-2.075971403362201410e-04	1.872344170724222047e-03
-1.817999948583448599e-06	-2.032352475988160852e-04	1.871000703528523899e-03
-1.815999948640012462e-06	-2.047716926659491155e-04	1.871841112655923175e-03
-1.813999948696576325e-06	-2.030395954179825969e-04	1.873650463982463920e-03
-1.811999948753140188e-06	-2.064347362030333731e-04	1.871711533879441601e-03
-1.809999948809704051e-06	-2.030971401770513465e-04	1.873781640445030486e-03
-1.807999948866267914e-06	-2.076719485230091712e-04	1.871813862087945684e-03
-1.805999948922831777e-06	-2.062851198294545537e-04	1.873636235669358949e-03
-1.803999948979395640e-06	-2.078848641315628046e-04	1.874018782386602851e-03
-1.801999949035959503e-06	-2.039718205148942311e-04	1.876553821958482603e-03
-1.799999949092523366e-06	-2.063714369680569598e-04	1.874846588138753302e-03
-1.797999949149087229e-06	-2.036553243400161491e-04	1.876636254640815264e-03
-1.795999949205651092e-06	-2.077410022338906461e-04	1.874728007519649601e-03
-1.793999949262214955e-06	-2.048580098045510607e-04	1.872462046195755205e-03
-1.791999949318778818e-06	-2.059053244196004651e-04	1.872144889338146810e-03
-1.789999949375342680e-06	-2.023260404055299288e-04	1.869905009455831131e-03
-1.787999949431906543e-06	-2.061009766004338450e-04	1.868342659295229788e-03
-1.785999949488470406e-06	-2.019980352788386879e-04	1.868576197478718972e-03
-1.783999949545034269e-06	-2.066188794320517508e-04	1.868090050940987741e-03
-1.781999949601598132e-06	-2.109174729344797999e-04	1.866287176685181787e-03
-1.779999949658161995e-06	-2.171725882452425695e-04	1.861858506135010728e-03
-1.777999949714725858e-06	-2.183637647579634276e-04	1.858550730783760591e-03
-1.775999949771289721e-06	-2.211086497655380574e-04	1.861039375431712724e-03
-1.773999949827853584e-06	-2.216668339285039985e-04	1.860875011600986347e-03
-1.771999949884417447e-06	-2.223746344650482981e-04	1.862591773199894331e-03
-1.769999949940981310e-06	-2.224379337000235730e-04	1.867129114659784846e-03
-1.767999949997545173e-06	-2.246821793037012010e-04	1.865939041791484388e-03
-1.765999950054109036e-06	-2.267998264374278456e-04	1.867989559175507351e-03
-1.763999950110672899e-06	-2.310466296566945378e-04	1.869554377246882872e-03
-1.761999950167236761e-06	-2.312652997411551573e-04	1.867527062893888784e-03
-1.759999950223800624e-06	-2.336476527665974428e-04	1.867229683006947204e-03
-1.757999950280364487e-06	-2.352358881168918842e-04	1.869281539145835379e-03
-1.755999950336928350e-06	-2.376470135218688290e-04	1.866826856330707331e-03
-1.753999950393492213e-06	-2.337109520015729074e-04	1.865933913839120219e-03
-1.751999950450056076e-06	-2.340619750318919030e-04	1.861249749778855905e-03
-1.749999950506619939e-06	-2.345395965321618820e-04	1.859812587795677766e-03
-1.747999950563183802e-06	-2.368989316539767652e-04	1.857019256558642287e-03
-1.745999950619747665e-06	-2.329513611818670611e-04	1.857376052979772037e-03
-1.743999950676311528e-06	-2.316796220064498344e-04	1.856655123065181767e-03
-1.741999950732875391e-06	-2.276514888716440056e-04	1.864108501817110389e-03
-1.739999950789439254e-06	-2.263855041721338462e-04	1.866882500214115618e-03
-1.737999950846003117e-06	-2.231975245197305034e-04	1.871054665837050459e-03
-1.735999950902566979e-06	-2.189161944450227350e-04	1.871806929694248183e-03
-1.733999950959130842e-06	-2.155843528949478029e-04	1.873781233684620193e-03
-1.731999951015694705e-06	-2.160849922988451299e-04	1.876358991123234978e-03
-1.729999951072258568e-06	-2.126035343751917037e-04	1.881273620341344412e-03
-1.727999951128822431e-06	-2.119705420254365427e-04	1.876358296010936528e-03
-1.725999951185386294e-06	-2.111649153984752143e-04	1.879791526546882282e-03
-1.723999951241950157e-06	-2.138695190747018360e-04	1.880582351510386337e-03
-1.721999951298514020e-06	-2.137947108879123721e-04	1.878676259527250515e-03
-1.719999951355077883e-06	-2.178688798299731138e-04	1.874930381750387291e-03
-1.717999951411641746e-06	-2.166949667449726176e-04	1.872535030005880851e-03
-1.715999951468205609e-06	-2.200095448673271335e-04	1.870409609698892028e-03
-1.713999951524769472e-06	-2.196872942165426347e-04	1.870688094997286421e-03
-1.711999951581333335e-06	-2.164935600882318993e-04	1.870712966602107669e-03
-1.709999951637897198e-06	-2.134206699539658116e-04	1.870021835927976068e-03
-1.707999951694461060e-06	-2.143644040026917975e-04	1.869696364035130934e-03
-1.705999951751024923e-06	-2.117921532723231453e-04	1.872030397748517287e-03
