# time	signal	sigma
-1.999999943436137073e-06	1.965966354828158373e-05	1.889873945880359094e-03
-1.997999943492700936e-06	2.465349434746381182e-05	1.887011263604927670e-03
-1.995999943549264799e-06	2.811956289406605455e-05	1.885787815313927362e-03
-1.993999943605828662e-06	2.804553036200261315e-05	1.882912648744818323e-03
-1.991999943662392525e-06	2.649084718867224112e-05	1.878342311819986574e-03
-1.989999943718956388e-06	2.391989925701763146e-05	1.877450831251913999e-03
-1.987999943775520251e-06	1.908086375214924587e-05	1.876737590235683312e-03
-1.985999943832084114e-06	1.309768911539297711e-05	1.875999329326866064e-03
-1.983999943888647977e-06	9.342220670724931363e-06	1.877221868925492421e-03
-1.981999943945211839e-06	8.406718674651609841e-06	1.874519446849263809e-03
-1.979999944001775702e-06	5.680975448682859530e-06	1.870289660148873523e-03
-1.977999944058339565e-06	4.678171150733815252e-06	1.871199646849056345e-03
-1.975999944114903428e-06	5.142557033676616691e-06	1.866206580539109868e-03
-1.973999944171467291e-06	5.122366343114084179e-06	1.865504891958436832e-03
-1.971999944228031154e-06	7.181816780512973201e-06	1.862240339671111800e-03
-1.969999944284595017e-06	1.033156450829905335e-05	1.865577083262609688e-03
-1.967999944341158880e-06	1.683969709968631740e-05	1.863461221284916890e-03
-1.965999944397722743e-06	2.325360646844703834e-05	1.861458800636134727e-03
-1.963999944454286606e-06	2.717733066780444518e-05	1.861690460857029234e-03
-1.961999944510850469e-06	3.312685415362244599e-05	1.860701411517575420e-03
-1.959999944567414332e-06	3.813414541317910848e-05	1.860842358239985991e-03
-1.957999944623978195e-06	4.222612536722563249e-05	1.862220862490764723e-03
-1.955999944680542058e-06	4.766415135878780424e-05	1.864313919260602139e-03
-1.953999944737105920e-06	5.207245213165095162e-05	1.869504685159683027e-03
-1.951999944793669783e-06	5.512797663681157285e-05	1.871523996695137167e-03
-1.949999944850233646e-06	5.099561530163860146e-05	1.875111050579975156e-03
-1.947999944906797509e-06	4.991877847162617000e-05	1.876526335103062158e-03
-1.945999944963361372e-06	4.534895217426140727e-05	1.877027240539476003e-03
-1.943999945019925235e-06	3.989073549213710958e-05	1.877092971062614994e-03
-1.941999945076489098e-06	3.814760587355459998e-05	1.878852231556678862e-03
-1.939999945133052961e-06	3.639101579459700546e-05	1.879269811818642293e-03
-1.937999945189616824e-06	3.481614193070393828e-05	1.876473071812097314e-03
-1.935999945246180687e-06	3.038092023709189501e-05	1.877824657097289717e-03
-1.933999945302744550e-06	2.780997230543750219e-05	1.878879383327115241e-03
-1.931999945359308413e-06	2.570341025672580239e-05	1.879149981356772418e-03
-1.929999945415872276e-06	2.471406641915195146e-05	1.876771071057270913e-03
-1.927999945472436139e-06	2.247962999687638927e-05	1.878386593016946214e-03
-1.925999945529000001e-06	2.171238375549283542e-05	1.871675209347881640e-03
