# time	signal	sigma
-1.999999943436137073e-06	3.170737265922063419e-05	1.841561867919656956e-03
-1.997999943492700936e-06	3.199623926923748983e-05	1.838410560465394538e-03
-1.995999943549264799e-06	3.127407274419570309e-05	1.837821930287996492e-03
-1.993999943605828662e-06	3.002231743412284268e-05	1.844240880792230629e-03
-1.991999943662392525e-06	2.963716195410071182e-05	1.844619160810507738e-03
-1.989999943718956388e-06	3.031720209851554979e-05	1.847870448774679682e-03
-1.987999943775520251e-06	2.904137457094128926e-05	1.851975249730033590e-03
-1.985999943832084114e-06	3.047367151227489451e-05	1.856959993466147278e-03
-1.983999943888647977e-06	3.090095337292513965e-05	1.858895274233874706e-03
-1.981999943945211839e-06	3.199022121486348150e-05	1.859173420985405379e-03
-1.979999944001775702e-06	3.206845592174326228e-05	1.858157163819580985e-03
-1.977999944058339565e-06	3.428309993187231720e-05	1.856997349219837281e-03
-1.975999944114903428e-06	3.391599861497611446e-05	1.854410447001877266e-03
-1.973999944171467291e-06	3.194207677986092521e-05	1.853449328891550781e-03
-1.971999944228031154e-06	3.239944891238752747e-05	1.856428113858135404e-03
-1.969999944284595017e-06	2.905942873406762396e-05	1.855046613878909897e-03
-1.967999944341158880e-06	2.668831531017914300e-05	1.856858824362316116e-03
-1.965999944397722743e-06	2.525601836884567328e-05	1.856316253010619616e-03
-1.963999944454286606e-06	2.512362117258791841e-05	1.858063358741596617e-03
-1.961999944510850469e-06	2.373345061188172271e-05	1.853894500990289646e-03
-1.959999944567414332e-06	2.340245762123732199e-05	1.854655519020106166e-03
-1.957999944623978195e-06	1.956293892976329824e-05	1.851916586209419440e-03
-1.955999944680542058e-06	1.837738221781930171e-05	1.851325287005711967e-03
-1.953999944737105920e-06	1.303936798688302566e-05	1.847200497006674111e-03
-1.951999944793669783e-06	1.056594763861385170e-05	1.847441479280709101e-03
-1.949999944850233646e-06	8.212888377851597019e-06	1.845414090031984337e-03
-1.947999944906797509e-06	6.118605455229027702e-06	1.848227817652662404e-03
-1.945999944963361372e-06	5.570962507071998806e-06	1.848881747147506109e-03
-1.943999945019925235e-06	4.228936381368738869e-06	1.847465048492920358e-03
-1.941999945076489098e-06	1.520811912460629141e-06	1.844947389383767410e-03
-1.939999945133052961e-06	-4.118105037243338130e-06	1.845714707024987203e-03
-1.937999945189616824e-06	-2.282598452761131803e-06	1.844338050738618005e-03
-1.935999945246180687e-06	-1.313691698329600820e-06	1.843713268102180293e-03
-1.933999945302744550e-06	-3.869113245253438631e-07	1.843653055950685493e-03
-1.931999945359308413e-06	-2.846044001447050643e-07	1.846501996673866660e-03
-1.929999945415872276e-06	-2.304419107667580839e-07	1.849930212643962615e-03
-1.927999945472436139e-06	4.848795982029859702e-06	1.853325537211077123e-03
-1.925999945529000001e-06	8.188816160349790324e-06	1.854817620724000769e-03
-1.923999945585563864e-06	1.154087244742055653e-05	1.854089751369019040e-03
-1.921999945642127727e-06	1.571740218391420906e-05	1.854405093661900877e-03
-1.919999945698691590e-06	1.674047142772398518e-05	1.852654494689249436e-03
-1.917999945755255453e-06	1.745661989839073359e-05	1.849770977094549297e-03
-1.915999945811819316e-06	2.030315961793169072e-05	1.850035737280759972e-03
-1.913999945868383179e-06	2.447367130005065729e-05	1.848597722491337157e-03
-1.911999945924947042e-06	2.485280872569777693e-05	1.846173198626094086e-03
-1.909999945981510905e-06	2.735030129146859496e-05	1.851391389881294324e-03
-1.907999946038074768e-06	2.901128429906512187e-05	1.856508432923183400e-03
-1.905999946094638631e-06	2.884277877655529393e-05	1.863089272610680839e-03
-1.903999946151202494e-06	3.054588816477925750e-05	1.864478027229875181e-03
-1.901999946207766357e-06	3.247166556489126704e-05	1.874326044592338229e-03
-1.899999946264330219e-06	3.101529640605680377e-05	1.879613108491756624e-03
-1.897999946320894082e-06	3.182171569235381619e-05	1.884370452241192423e-03
-1.895999946377457945e-06	3.300727240429767720e-05	1.883201025833200308e-03
-1.893999946434021808e-06	3.332622928619135075e-05	1.884524839786213060e-03
-1.891999946490585671e-06	3.493304980441006621e-05	1.888492779291274818e-03
-1.889999946547149534e-06	3.456594848751391768e-05	1.888800232244920285e-03
-1.887999946603713397e-06	3.122592830919442074e-05	1.887443536668646955e-03
-1.885999946660277260e-06	3.427106382312172556e-05	1.885488586011397011e-03
-1.883999946716841123e-06	2.955892724722234050e-05	1.887292571333109127e-03
-1.881999946773404986e-06	3.067226730666227220e-05	1.885770828438392260e-03
-1.879999946829968849e-06	2.784979980462192915e-05	1.880979097065335875e-03
-1.877999946886532712e-06	2.630315983015652425e-05	1.878789630016328453e-03
-1.875999946943096575e-06	2.839142469840337762e-05	1.876588628613203805e-03
-1.873999946999660438e-06	2.949272864909320557e-05	1.878803130563834554e-03
-1.871999947056224300e-06	2.837938858965297572e-05	1.879458572343348580e-03
-1.869999947112788163e-06	2.578560715387674695e-05	1.882609008974030001e-03
-1.867999947169352026e-06	2.300526603246419292e-05	1.886144949260902494e-03
-1.865999947225915889e-06	2.351680065436914874e-05	1.888424953660466660e-03
-1.863999947282479752e-06	1.887086267659789573e-05	1.888026221449458928e-03
-1.861999947339043615e-06	1.725200604962845311e-05	1.890765465982685578e-03
-1.859999947395607478e-06	1.520586756200909061e-05	1.892387512004632417e-03
-1.857999947452171341e-06	1.319583740064174697e-05	1.893802864638720199e-03
-1.855999947508735204e-06	1.010857550608659891e-05	1.893447152417409565e-03
-1.853999947565299067e-06	6.076479074601347100e-06	1.888948547075801430e-03
-1.851999947621862930e-06	3.019307451922962748e-06	1.885379023135196411e-03
-1.849999947678426793e-06	1.129638378062701020e-06	1.879087539963384106e-03
-1.847999947734990656e-06	-7.058682064192342565e-07	1.874495950230014142e-03
