# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-2.150081804459827772e+00 -4.955309309469368428e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.148081804516391635e+00 -2.795309233068321020e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.146081804572955498e+00 -6.353091566672734725e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.144081804629519361e+00 3.324690983401313304e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.142081804686083224e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.140081804742647087e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.138081804799210950e+00 4.404691021601837009e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.136081804855774813e+00 6.204691085269377071e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.134081804912338676e+00 7.284691123469900775e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.132081804968902539e+00 5.844691072535869170e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.130081805025466402e+00 6.204691085269377071e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.128081805082030264e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.126081805138594127e+00 8.469086879974233040e-03 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.124081805195157990e+00 -4.595309296735860527e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.122081805251721853e+00 -7.835309411337431085e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.120081805308285716e+00 -9.275309462271462690e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.118081805364849579e+00 -1.251530957687303491e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.116081805421413442e+00 -1.359530961507355862e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.114081805477977305e+00 -1.503530966600759022e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.112081805534541168e+00 -1.755530975514214553e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.110081805591105031e+00 -1.683530972967512973e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.108081805647668894e+00 -1.755530975514214553e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.106081805704232757e+00 -1.539530967874109812e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.104081805760796620e+00 -1.395530962780706652e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.102081805817360483e+00 -8.555309436804446888e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
