# time	signal	sigma
-1.999999943436137073e-06	-9.591343961264401849e-06	1.874980143448750974e-03
-1.997999943492700936e-06	-8.844773066144233538e-06	1.880292804595044224e-03
-1.995999943549264799e-06	-1.280101095918251058e-05	1.885802440283994167e-03
-1.993999943605828662e-06	-1.538755579266965282e-05	1.890870441143329122e-03
-1.991999943662392525e-06	-1.702766035753977992e-05	1.896718959588469594e-03
-1.989999943718956388e-06	-1.735685697271094861e-05	1.906039842486100411e-03
-1.987999943775520251e-06	-2.143066508545281952e-05	1.910244755051893365e-03
-1.985999943832084114e-06	-1.719225866512547269e-05	1.915369126034929337e-03
-1.983999943888647977e-06	-1.939670028457476936e-05	1.916955666555401937e-03
-1.981999943945211839e-06	-1.655737947872437449e-05	1.915061949546036221e-03
-1.979999944001775702e-06	-1.864425087846953519e-05	1.911666860747467242e-03
-1.977999944058339565e-06	-1.380623633765191895e-05	1.906267343406643734e-03
-1.975999944114903428e-06	-1.521120046311409939e-05	1.899738619499194122e-03
-1.973999944171467291e-06	-9.873512488554501629e-06	1.894825436322223515e-03
-1.971999944228031154e-06	-1.153713109736516319e-05	1.886332928456694669e-03
-1.969999944284595017e-06	-8.909436686981638421e-06	1.884867176213422899e-03
-1.967999944341158880e-06	-1.107860724051978104e-05	1.880185075223618713e-03
-1.965999944397722743e-06	-9.256268835108600983e-06	1.879462671284196995e-03
-1.963999944454286606e-06	-1.314784310730947314e-05	1.876894319246083824e-03
-1.961999944510850469e-06	-1.606358455596767565e-05	1.880887391236352700e-03
-1.959999944567414332e-06	-1.954954157018973411e-05	1.880762774017261758e-03
-1.957999944623978195e-06	-2.104856187141486553e-05	1.883109901527046156e-03
-1.955999944680542058e-06	-2.506946338528940905e-05	1.880027871297314289e-03
-1.953999944737105920e-06	-2.760898013089472343e-05	1.879940643154096470e-03
-1.951999944793669783e-06	-3.269977064407597177e-05	1.876252306539219700e-03
-1.949999944850233646e-06	-3.258220042437199844e-05	1.879512899807291460e-03
-1.947999944906797509e-06	-3.929545996946774266e-05	1.873493399601194962e-03
-1.945999944963361372e-06	-3.906619804104486185e-05	1.878146395255444285e-03
-1.943999945019925235e-06	-4.227586503896264532e-05	1.876262568781457548e-03
-1.941999945076489098e-06	-3.923079634863017515e-05	1.882918090489497324e-03
-1.939999945133052961e-06	-4.023014321611375873e-05	1.883386607572121001e-03
-1.937999945189616824e-06	-3.740257943223354977e-05	1.892816814888828147e-03
-1.935999945246180687e-06	-3.590943764199342999e-05	1.890437982753234280e-03
-1.933999945302744550e-06	-3.217070465540768521e-05	1.895497336053665475e-03
-1.931999945359308413e-06	-3.073634797502012130e-05	1.893024479693234015e-03
-1.929999945415872276e-06	-2.633922175809252702e-05	1.893991784632235087e-03
-1.927999945472436139e-06	-2.251818961771417981e-05	1.891630880540973733e-03
-1.925999945529000001e-06	-1.645156628098971971e-05	1.894018004701478490e-03
-1.923999945585563864e-06	-1.406489082099942429e-05	1.889696621935727698e-03
-1.921999945642127727e-06	-9.344446499885835592e-06	1.891132568919447155e-03
-1.919999945698691590e-06	-8.456791341121051072e-06	1.886976761203179760e-03
-1.917999945755255453e-06	-5.370573073892523624e-06	1.886274754800097708e-03
-1.915999945811819316e-06	-7.134126369451771225e-06	1.886018721171672232e-03
-1.913999945868383179e-06	-3.095589322620973059e-06	1.884875294896517194e-03
-1.911999945924947042e-06	-3.492544406973182788e-09	1.882119644869791920e-03
-1.909999945981510905e-06	5.181354144537307464e-06	1.884241446446798841e-03
-1.907999946038074768e-06	4.905064128232869847e-06	1.882122635554681761e-03
-1.905999946094638631e-06	5.916168017687127231e-06	1.886019605396064289e-03
-1.903999946151202494e-06	6.480505072265971538e-06	1.886766993391361799e-03
-1.901999946207766357e-06	1.057194871796322973e-05	1.892387171542558953e-03
-1.899999946264330219e-06	8.702582224670303134e-06	1.892116634622858064e-03
-1.897999946320894082e-06	1.510428068755048279e-05	1.895360306279444962e-03
-1.895999946377457945e-06	1.370519507307355793e-05	1.892914304143255818e-03
-1.893999946434021808e-06	1.753210572443743179e-05	1.893005952771004575e-03
-1.891999946490585671e-06	1.931917306393729516e-05	1.889577464439007141e-03
-1.889999946547149534e-06	1.983648203063466398e-05	1.886186839935033400e-03
-1.887999946603713397e-06	2.011277204693915580e-05	1.882404499488056450e-03
-1.885999946660277260e-06	2.055366037082887961e-05	1.880944238025948840e-03
-1.883999946716841123e-06	1.502198153375815140e-05	1.876068208643499012e-03
-1.881999946773404986e-06	1.567449625311528741e-05	1.878453472357323158e-03
-1.879999946829968849e-06	1.101871555283913070e-05	1.874801887589509428e-03
-1.877999946886532712e-06	7.656207269306219846e-06	1.876037293995245570e-03
-1.875999946943096575e-06	2.036350767457335452e-06	1.869830485040950173e-03
-1.873999946999660438e-06	9.899758120923034862e-07	1.869373970485261726e-03
-1.871999947056224300e-06	-4.265413008674231055e-06	1.866552507630834341e-03
-1.869999947112788163e-06	-1.831709460802487255e-06	1.868610398236725863e-03
-1.867999947169352026e-06	-2.507738224100157726e-06	1.868226300428883335e-03
-1.865999947225915889e-06	-3.042682723753130673e-06	1.866520108489911700e-03
-1.863999947282479752e-06	-3.219038053309063565e-06	1.862558126064118181e-03
-1.861999947339043615e-06	-8.462669852105466402e-06	1.863607223768296841e-03
-1.859999947395607478e-06	-1.089637339997726441e-05	1.859816495759159232e-03
-1.857999947452171341e-06	-1.201916899814983297e-05	1.857008157803240146e-03
-1.855999947508735204e-06	-1.709820248936051593e-05	1.852918038692954062e-03
-1.853999947565299067e-06	-1.621642584158079726e-05	1.850769967456778256e-03
-1.851999947621862930e-06	-2.003745798195898185e-05	1.845974040496309440e-03
-1.849999947678426793e-06	-1.644568777000351544e-05	1.843633909449499987e-03
-1.847999947734990656e-06	-1.416482550774700745e-05	1.837207157766482159e-03
-1.845999947791554519e-06	-8.503819429001577886e-06	1.838889922673286317e-03
-1.843999947848118381e-06	-7.298724677036108740e-06	1.837263812274256541e-03
-1.841999947904682244e-06	-2.401925026366180573e-06	1.837347139627808473e-03
-1.839999947961246107e-06	6.704958741685280478e-08	1.838721628895782431e-03
-1.837999948017809970e-06	3.952745348632496483e-06	1.843185927295780315e-03
-1.835999948074373833e-06	2.306762272777113792e-06	1.845363602436276684e-03
-1.833999948130937696e-06	8.426292208367708661e-06	1.844831440149607852e-03
-1.831999948187501559e-06	9.725443136096318525e-06	1.843100148609192086e-03
-1.829999948244065422e-06	1.192988475554542546e-05	1.842404343073019172e-03
-1.827999948300629285e-06	1.203569795327867078e-05	1.837691389677003576e-03
-1.825999948357193148e-06	1.407554126514192231e-05	1.834823754433127481e-03
-1.823999948413757011e-06	1.371107358405919299e-05	1.833331325320918751e-03
-1.821999948470320874e-06	1.747919912557080913e-05	1.835481244546203518e-03
-1.819999948526884737e-06	1.805529320212013750e-05	1.836397505130087527e-03
-1.817999948583448599e-06	1.820225597674998219e-05	1.840292714423854160e-03
-1.815999948640012462e-06	1.770846105399358152e-05	1.841013580164528249e-03
-1.813999948696576325e-06	1.686783398311048933e-05	1.839708197613536223e-03
-1.811999948753140188e-06	1.354647527647404232e-05	1.839400744162242177e-03
-1.809999948809704051e-06	1.339951250184408921e-05	1.838045812217642058e-03
-1.807999948866267914e-06	1.456345767691317582e-05	1.836463508435706715e-03
-1.805999948922831777e-06	1.892531282792980578e-05	1.838456972539394534e-03
-1.803999948979395640e-06	1.924275242113054462e-05	1.841754656012478198e-03
-1.801999949035959503e-06	2.452165528583791177e-05	1.850187351974904183e-03
-1.799999949092523366e-06	2.567384343893659563e-05	1.854319100803272086e-03
-1.797999949149087229e-06	2.992988539221938396e-05	1.868516803084968722e-03
-1.795999949205651092e-06	2.847201466789041823e-05	1.873964418088632173e-03
-1.793999949262214955e-06	3.072936288620614783e-05	1.885254974589733838e-03
-1.791999949318778818e-06	3.230480383023884294e-05	1.887913158267292895e-03
-1.789999949375342680e-06	3.412126372466468610e-05	1.889067234357747101e-03
-1.787999949431906543e-06	3.225777574235687956e-05	1.886575323932847487e-03
-1.785999949488470406e-06	3.392727286215309486e-05	1.885297715649882858e-03
-1.783999949545034269e-06	3.380970264244909443e-05	1.878835946414678755e-03
-1.781999949601598132e-06	3.547332125125994572e-05	1.872552526615228839e-03
-1.779999949658161995e-06	3.134660653965101848e-05	1.867617200035181580e-03
-1.777999949714725858e-06	3.118200823206537992e-05	1.865523413880592783e-03
-1.775999949771289721e-06	2.841322955803732026e-05	1.858270523668047050e-03
-1.773999949827853584e-06	2.750793886631679609e-05	1.855045260110124890e-03
-1.771999949884417447e-06	2.469213210440728804e-05	1.853552098209649895e-03
-1.769999949940981310e-06	2.503896425253389823e-05	1.854981390233459383e-03
-1.767999949997545173e-06	2.295797136377415574e-05	1.851206461807303975e-03
-1.765999950054109036e-06	2.298148540771509677e-05	1.851719035337924145e-03
-1.763999950110672899e-06	1.656215141187942141e-05	1.851450239431371575e-03
-1.761999950167236761e-06	1.526300048415078444e-05	1.856720991222347763e-03
-1.759999950223800624e-06	1.006639677323610104e-05	1.854201486145033283e-03
-1.757999950280364487e-06	7.074234681770551680e-06	1.860924168670898340e-03
-1.755999950336928350e-06	2.048107789426870844e-06	1.861876740273744587e-03
-1.753999950393492213e-06	2.669189609120191115e-07	1.870241319366512537e-03
-1.751999950450056076e-06	-4.000880014341415920e-06	1.872237140441840352e-03
-1.749999950506619939e-06	-6.710873578517516022e-06	1.875029253676726605e-03
-1.747999950563183802e-06	-8.362735165357937459e-06	1.875725041169833563e-03
-1.745999950619747665e-06	-1.015568101584324616e-05	1.877306781992757684e-03
-1.743999950676311528e-06	-1.199565495421022008e-05	1.876019080089279430e-03
-1.741999950732875391e-06	-1.127259810303096570e-05	1.871932640483310031e-03
-1.739999950789439254e-06	-1.366515207400648959e-05	1.866868201228807532e-03
-1.737999950846003117e-06	-1.410016188691117466e-05	1.869230397577340995e-03
-1.735999950902566979e-06	-1.864425087846904730e-05	1.871946827964559093e-03
-1.733999950959130842e-06	-2.284738623288540271e-05	1.873752123518260737e-03
-1.731999951015694705e-06	-2.729741904868027017e-05	1.873292967280032256e-03
-1.729999951072258568e-06	-3.141825524930337262e-05	1.879528661856652702e-03
-1.727999951128822431e-06	-3.853713205237755107e-05	1.882679892370140839e-03
-1.725999951185386294e-06	-4.072981664985655340e-05	1.881299373757111971e-03
-1.723999951241950157e-06	-4.709036553584032342e-05	1.878929595714635926e-03
-1.721999951298514020e-06	-4.867168499085843675e-05	1.879650615468619499e-03
-1.719999951355077883e-06	-5.149924877473837466e-05	1.877609258003340399e-03
